\PL_NAME='WASP-80 b'
\SPEC_TYPE='Eclipse'
\INSTRUMENT='Near Infrared Camera (NIRCam)'
\FACILITY='NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission'
\NOTE='Figure 3, Fiducial spectrum'
\REFERENCE='Bell et al. 2023'
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|OBS_DATEERR1|OBS_DATEERR2|
|        double|   double|     double|         double|         double|          long|    double|        double|        double|         long|    char|      double|      double|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|        days|        days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|        null|        null|
         2.4218      null    -0.00047         0.01394        -0.01394              0       null           null           null             0     null         null         null 
        2.43615      null    -0.00676         0.01064        -0.01064              0       null           null           null             0     null         null         null 
        2.45045      null     0.00179          0.0105         -0.0105              0       null           null           null             0     null         null         null 
         2.4648      null     0.01162         0.01044        -0.01044              0       null           null           null             0     null         null         null 
        2.47915      null    -0.00302         0.01237        -0.01237              0       null           null           null             0     null         null         null 
         2.4935      null     0.01374         0.01015        -0.01015              0       null           null           null             0     null         null         null 
         2.5079      null     0.00565         0.01072        -0.01072              0       null           null           null             0     null         null         null 
         2.5223      null    -0.00374         0.00966        -0.00966              0       null           null           null             0     null         null         null 
        2.53665      null     0.00273         0.01051        -0.01051              0       null           null           null             0     null         null         null 
          2.551      null    -0.00234         0.00969        -0.00969              0       null           null           null             0     null         null         null 
         2.5654      null    -0.00421         0.00924        -0.00924              0       null           null           null             0     null         null         null 
         2.5798      null    -0.00078         0.00897        -0.00897              0       null           null           null             0     null         null         null 
         2.5942      null    -0.00681         0.00896        -0.00896              0       null           null           null             0     null         null         null 
         2.6086      null    -0.00487         0.01011        -0.01011              0       null           null           null             0     null         null         null 
        2.62305      null    -0.00235         0.00802        -0.00802              0       null           null           null             0     null         null         null 
