\PL_NAME = WASP-69 b
\SPEC_TYPE = Eclipse
\SPEC_NUM = 1
\INSTRUMENT = Near Infrared Camera (NIRCam)
\FACILITY = NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission
\NOTE = Figure 3, unbinned, F322W2 and F444W
\REFERENCE = Schlawin et al. 2024
\
\
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|OBS_DATEERR1|OBS_DATEERR2|
|        double|   double|     double|         double|         double|          long|    double|        double|        double|         long|    char|        char|        char|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|        days|        days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|        null|        null|
        2.45477   0.00960     0.01758         0.00756        -0.00756              0       null           null           null             0     null         null         null 
        2.46433   0.00960     0.02407         0.00740        -0.00740              0       null           null           null             0     null         null         null 
        2.47438   0.01050     0.01707         0.00676        -0.00676              0       null           null           null             0     null         null         null 
        2.48443   0.00960     0.01322         0.00760        -0.00760              0       null           null           null             0     null         null         null 
        2.49448   0.01050     0.02063         0.00711        -0.00711              0       null           null           null             0     null         null         null 
        2.50454   0.00960     0.01254         0.00732        -0.00732              0       null           null           null             0     null         null         null 
        2.51460   0.01050     0.01669         0.00681        -0.00681              0       null           null           null             0     null         null         null 
        2.52466   0.00960     0.02013         0.00687        -0.00687              0       null           null           null             0     null         null         null 
        2.53472   0.01050     0.01552         0.00674        -0.00674              0       null           null           null             0     null         null         null 
        2.54479   0.00960     0.01810         0.00702        -0.00702              0       null           null           null             0     null         null         null 
        2.55438   0.00960     0.01673         0.00718        -0.00718              0       null           null           null             0     null         null         null 
        2.56446   0.01060     0.01796         0.00633        -0.00633              0       null           null           null             0     null         null         null 
        2.57454   0.00960     0.03268         0.00710        -0.00710              0       null           null           null             0     null         null         null 
        2.58462   0.01060     0.02599         0.00660        -0.00660              0       null           null           null             0     null         null         null 
        2.59470   0.00960     0.01628         0.00646        -0.00646              0       null           null           null             0     null         null         null 
        2.60431   0.00960     0.02795         0.00646        -0.00646              0       null           null           null             0     null         null         null 
