\PL_NAME='HD 149026 b'
\SPEC_TYPE='Eclipse'
\INSTRUMENT='Near Infrared Camera (NIRCam)'
\FACILITY='NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission'
\NOTE='None'
\REFERENCE='Bean et al. 2023'
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|OBS_DATEERR1|OBS_DATEERR2|
|        double|   double|     double|         double|         double|          long|    double|        double|        double|         long|  double|      double|      double|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|        days|        days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|        null|        null|
           2.36      null      0.0178          0.0085         -0.0085              0       null           null           null             0     null         null         null 
           2.38      null      0.0135         0.00508        -0.00508              0       null           null           null             0     null         null         null 
            2.4      null      0.0174         0.00509        -0.00509              0       null           null           null             0     null         null         null 
           2.42      null      0.0184         0.00396        -0.00396              0       null           null           null             0     null         null         null 
           2.44      null       0.021         0.00351        -0.00351              0       null           null           null             0     null         null         null 
           2.46      null      0.0221         0.00361        -0.00361              0       null           null           null             0     null         null         null 
           2.48      null       0.018         0.00356        -0.00356              0       null           null           null             0     null         null         null 
            2.5      null      0.0152         0.00344        -0.00344              0       null           null           null             0     null         null         null 
           2.52      null      0.0198         0.00392        -0.00392              0       null           null           null             0     null         null         null 
           2.54      null      0.0118         0.00402        -0.00402              0       null           null           null             0     null         null         null 
           2.56      null      0.0238          0.0042         -0.0042              0       null           null           null             0     null         null         null 
           2.58      null      0.0208         0.00401        -0.00401              0       null           null           null             0     null         null         null 
            2.6      null      0.0184         0.00366        -0.00366              0       null           null           null             0     null         null         null 
           2.62      null      0.0169         0.00467        -0.00467              0       null           null           null             0     null         null         null 
           2.64      null      0.0125         0.00372        -0.00372              0       null           null           null             0     null         null         null 
           2.66      null      0.0146         0.00381        -0.00381              0       null           null           null             0     null         null         null 
           2.68      null      0.0247         0.00552        -0.00552              0       null           null           null             0     null         null         null 
            2.7      null      0.0168         0.00331        -0.00331              0       null           null           null             0     null         null         null 
           2.72      null     0.00894         0.00387        -0.00387              0       null           null           null             0     null         null         null 
           2.74      null      0.0222          0.0032         -0.0032              0       null           null           null             0     null         null         null 
           2.76      null      0.0221         0.00355        -0.00355              0       null           null           null             0     null         null         null 
           2.78      null      0.0175         0.00387        -0.00387              0       null           null           null             0     null         null         null 
            2.8      null      0.0189          0.0039         -0.0039              0       null           null           null             0     null         null         null 
           2.82      null      0.0178         0.00607        -0.00607              0       null           null           null             0     null         null         null 
           2.84      null      0.0203          0.0039         -0.0039              0       null           null           null             0     null         null         null 
           2.86      null      0.0152         0.00619        -0.00619              0       null           null           null             0     null         null         null 
           2.88      null      0.0185         0.00334        -0.00334              0       null           null           null             0     null         null         null 
            2.9      null      0.0188          0.0036         -0.0036              0       null           null           null             0     null         null         null 
           2.92      null       0.022         0.00409        -0.00409              0       null           null           null             0     null         null         null 
           2.94      null      0.0148         0.00426        -0.00426              0       null           null           null             0     null         null         null 
           2.96      null      0.0229         0.00387        -0.00387              0       null           null           null             0     null         null         null 
           2.98      null      0.0215          0.0041         -0.0041              0       null           null           null             0     null         null         null 
            3.0      null       0.017          0.0038         -0.0038              0       null           null           null             0     null         null         null 
           3.02      null       0.022         0.00444        -0.00444              0       null           null           null             0     null         null         null 
           3.04      null      0.0166         0.00435        -0.00435              0       null           null           null             0     null         null         null 
           3.06      null      0.0231         0.00399        -0.00399              0       null           null           null             0     null         null         null 
           3.08      null      0.0239         0.00403        -0.00403              0       null           null           null             0     null         null         null 
            3.1      null      0.0293         0.00561        -0.00561              0       null           null           null             0     null         null         null 
           3.12      null      0.0256         0.00406        -0.00406              0       null           null           null             0     null         null         null 
           3.14      null      0.0258         0.00382        -0.00382              0       null           null           null             0     null         null         null 
           3.16      null      0.0302         0.00371        -0.00371              0       null           null           null             0     null         null         null 
           3.18      null      0.0334         0.00358        -0.00358              0       null           null           null             0     null         null         null 
            3.2      null      0.0228         0.00401        -0.00401              0       null           null           null             0     null         null         null 
           3.22      null      0.0275         0.00393        -0.00393              0       null           null           null             0     null         null         null 
           3.24      null      0.0313         0.00333        -0.00333              0       null           null           null             0     null         null         null 
           3.26      null       0.021          0.0032         -0.0032              0       null           null           null             0     null         null         null 
           3.28      null      0.0315         0.00358        -0.00358              0       null           null           null             0     null         null         null 
            3.3      null      0.0284         0.00362        -0.00362              0       null           null           null             0     null         null         null 
           3.32      null      0.0307         0.00379        -0.00379              0       null           null           null             0     null         null         null 
           3.34      null      0.0323         0.00382        -0.00382              0       null           null           null             0     null         null         null 
           3.36      null      0.0338         0.00405        -0.00405              0       null           null           null             0     null         null         null 
           3.38      null       0.035         0.00413        -0.00413              0       null           null           null             0     null         null         null 
            3.4      null      0.0348         0.00409        -0.00409              0       null           null           null             0     null         null         null 
