\PL_NAME = WASP-69 b
\SPEC_TYPE = Eclipse
\SPEC_NUM = 3
\INSTRUMENT = Near Infrared Camera (NIRCam)
\FACILITY = NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission
\NOTE = Figure 5, binned
\REFERENCE = Schlawin et al. 2024
\
\
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|OBS_DATEERR1|OBS_DATEERR2|
|        double|   double|     double|         double|         double|          long|    double|        double|        double|         long|    char|        char|        char|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|        days|        days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|        null|        null|
        2.09500   0.20900     0.01337         0.00441        -0.00441              0       1178             66            -66             0     null         null         null 
        2.47960   0.04966     0.01856         0.00325        -0.00325              0       1088             36            -36             0     null         null         null 
        2.52926   0.04966     0.01667         0.00310        -0.00310              0       1052             36            -36             0     null         null         null 
        2.57892   0.04966     0.02167         0.00300        -0.00300              0       1091             29            -29             0     null         null         null 
        2.62858   0.04966     0.01938         0.00277        -0.00277              0       1055             29            -29             0     null         null         null 
        2.67824   0.04966     0.01887         0.00272        -0.00272              0       1036             29            -29             0     null         null         null 
        2.72790   0.04966     0.01676         0.00262        -0.00262              0       1001             29            -29             0     null         null         null 
        2.77757   0.04966     0.02104         0.00260        -0.00260              0       1032             25            -25             0     null         null         null 
        2.82723   0.04966     0.01931         0.00261        -0.00261              0       1002             27            -27             0     null         null         null 
        2.87689   0.04966     0.01728         0.00265        -0.00265              0        968             29            -29             0     null         null         null 
        2.92655   0.04966     0.03388         0.00254        -0.00254              0       1098             18            -18             0     null         null         null 
        2.97621   0.04966     0.02664         0.00253        -0.00253              0       1030             21            -21             0     null         null         null 
        3.02587   0.04966     0.02671         0.00253        -0.00253              0       1018             20            -20             0     null         null         null 
        3.07553   0.04966     0.03351         0.00250        -0.00250              0       1058             18            -18             0     null         null         null 
        3.12519   0.04966     0.03737         0.00248        -0.00248              0       1071             16            -16             0     null         null         null 
        3.17485   0.04966     0.04148         0.00246        -0.00246              0       1085             15            -15             0     null         null         null 
        3.22451   0.04966     0.04259         0.00248        -0.00248              0       1080             15            -15             0     null         null         null 
        3.27418   0.04966     0.04490         0.00246        -0.00246              0       1082             14            -14             0     null         null         null 
        3.32384   0.04966     0.04709         0.00245        -0.00245              0       1082             14            -14             0     null         null         null 
        3.37350   0.04966     0.04404         0.00244        -0.00244              0       1054             14            -14             0     null         null         null 
        3.42316   0.04966     0.04985         0.00248        -0.00248              0       1076             13            -13             0     null         null         null 
        3.47282   0.04966     0.04993         0.00248        -0.00248              0       1066             13            -13             0     null         null         null 
        3.52248   0.04966     0.05660         0.00251        -0.00251              0       1090             13            -13             0     null         null         null 
        3.57214   0.04966     0.05375         0.00251        -0.00251              0       1065             13            -13             0     null         null         null 
        3.62180   0.04966     0.05523         0.00251        -0.00251              0       1063             13            -13             0     null         null         null 
        3.67146   0.04966     0.05787         0.00264        -0.00264              0       1065             13            -13             0     null         null         null 
        3.72112   0.04966     0.06308         0.00265        -0.00265              0       1078             12            -12             0     null         null         null 
        3.77078   0.04966     0.06143         0.00269        -0.00269              0       1063             13            -13             0     null         null         null 
        3.82045   0.04966     0.05986         0.00272        -0.00272              0       1047             13            -13             0     null         null         null 
        3.87011   0.04966     0.06626         0.00284        -0.00284              0       1062             13            -13             0     null         null         null 
        3.91977   0.04966     0.06743         0.00273        -0.00273              0       1060             12            -12             0     null         null         null 
        3.92093   0.05351     0.05842         0.00209        -0.00209              0       1019             10            -10             0     null         null         null 
        3.97444   0.05351     0.06348         0.00214        -0.00214              0       1034             10            -10             0     null         null         null 
        4.02795   0.05351     0.06342         0.00217        -0.00217              0       1026             10            -10             0     null         null         null 
        4.08147   0.05351     0.06633         0.00201        -0.00201              0       1030              9             -9             0     null         null         null 
        4.13498   0.05351     0.06493         0.00226        -0.00226              0       1015             10            -10             0     null         null         null 
        4.18849   0.05351     0.06505         0.00223        -0.00223              0       1005             10            -10             0     null         null         null 
        4.24201   0.05351     0.04792         0.00247        -0.00247              0        919             12            -12             0     null         null         null 
        4.29552   0.05351     0.04043         0.00255        -0.00255              0        864             14            -14             0     null         null         null 
        4.34903   0.05351     0.04016         0.00238        -0.00238              0        849             13            -13             0     null         null         null 
        4.40255   0.05351     0.04965         0.00276        -0.00276              0        882             13            -13             0     null         null         null 
        4.45606   0.05351     0.05246         0.00281        -0.00281              0        884             13            -13             0     null         null         null 
        4.50957   0.05351     0.05770         0.00268        -0.00268              0        897             11            -11             0     null         null         null 
        4.56309   0.05351     0.07437         0.00315        -0.00315              0        955             12            -12             0     null         null         null 
        4.61660   0.05351     0.07489         0.00311        -0.00311              0        950             12            -12             0     null         null         null 
        4.67011   0.05351     0.07672         0.00299        -0.00299              0        953             11            -11             0     null         null         null 
        4.72363   0.05351     0.08155         0.00331        -0.00331              0        966             12            -12             0     null         null         null 
        4.77714   0.05351     0.08324         0.00345        -0.00345              0        966             12            -12             0     null         null         null 
        4.83065   0.05351     0.07154         0.00324        -0.00324              0        919             12            -12             0     null         null         null 
        4.88417   0.05351     0.07201         0.00371        -0.00371              0        914             14            -14             0     null         null         null 
        4.93768   0.05351     0.08190         0.00366        -0.00366              0        944             13            -13             0     null         null         null 
